"Name","Value"
"Address","https://www.helios-gesundheit.de/karriere/job-finden/stellenangebot/gesundheits-und-krankenpfleger-mwd-fuer-den-bereich-gefaesschirurgie/"
"URL Encoded Address","https://www.helios-gesundheit.de/karriere/job-finden/stellenangebot/gesundheits-und-krankenpfleger-mwd-fuer-den-bereich-gefaesschirurgie/"
"Content Type","text/html; charset=utf-8"
"Status Code","200"
"Status","OK"
"HTTP Version","1.1"
"Indexability","Indexable"
"Size","43.8 KB"
"Title 1","Gesundheits- und Krankenpfleger (m/w/d) für den Bereich Gefäßchirurgie in Berlin | Helios Kliniken"
"Title 1 Length","98"
"Meta Description 1","Gesundheits- und Krankenpfleger (m/w/d) für den Bereich Gefäßchirurgie bei Helios → jetzt bewerben! Vollzeit ✓ Berlin ✓ zum nächstmöglichen Zeitpunkt ✓"
"Meta Description 1 Length","151"
"Meta Description 1 Pixel Width","961"
"H2-1","Ich möchte …"
"H2-1 Length","12"
"H2-2","Gesundheits- und Krankenpfleger (m/w/d) für den Bereich Gefäßchirurgie"
"H2-2 Length","70"
"Meta Robots 1","index,follow"
"Canonical Link Element 1","https://www.helios-gesundheit.de/karriere/job-finden/stellenangebot/gesundheits-und-krankenpfleger-mwd-fuer-den-bereich-gefaesschirurgie/"
"Canonical Link Element 1 Origin","HTML"
"Canonical Link Element 1 Indexability","Indexable"
"Word Count","538"
"Sentence Count","120"
"Average Words Per Sentence","4.48"
"Flesch Reading Ease Score","30.10"
"Readability","Hard"
"Text Ratio","13.05"
"Crawl Depth","7"
"Link Score",""
"Inlinks","3"
"Unique Inlinks","2"
"Unique JS Inlinks","0"
"% of Total","0.78"
"Outlinks","37"
"Unique Outlinks","26"
"Unique JS Outlinks","0"
"External Outlinks","10"
"Unique External Outlinks","9"
"Unique External JS Outlinks","0"
"Hash","47c0e3d4d96dbc178793b04a74adf717"
"Response Time","0.31"
"Last Modified",""
"Form 0 Action Link","https://www.helios-gesundheit.de/karriere/suche/"
"Form 0 Action Path Type","Root-Relative"
"Form 1 Action Link","https://www.helios-gesundheit.de/karriere/suche/"
"Form 1 Action Path Type","Root-Relative"
"Crawl Timestamp","2023-02-21 03:41:06"
